Internal ID Number,Name,Constellation,Bayer,HIP,TYC,HD,_RAJ2000,_DEJ2000,V,B-V
Str_CMa_00000001,Sirius,Canis Major,alf CMa,32349.0,5949  2777 1,,101.28854105,-16.71314306,-1.44,
Str_Car_00000002,Canopus,Carina,alf Car,30438.0,8534  2277 1,45348.0,95.9879505737,-52.69564950220001,-0.63,0.173
Str_Cen_00000003,Rigil Kentaurus,Centaurus,alf Cen,71683.0,9007  5849 1,,219.92041034,-60.83514707,-0.01,
Str_Lyr_00000004,Vega,Lyra,alf Lyr,91262.0,3105  2070 1,,279.23410832,38.78299311,0.03,
Str_Aur_00000005,Capella,Auriga,alf Aur,24608.0,3358  3141 1,,79.17206517,45.99902927,0.08,
Str_Boo_00000006,Arcturus,Boötes,alf Boo,69673.0,1472  1436 1,124897.0,213.91529084830003,19.1824182443,0.16,1.137
Str_Ori_00000007,Rigel,Orion,bet Ori,24436.0,5331  1752 1,34085.0,78.6344581142,-8.2016434881,0.28,0.023
Str_CMi_00000008,Procyon,Canis Minor,alf CMi,37279.0,187  2184 1,,114.82724194,5.22750767,0.4,
Str_Eri_00000009,Achernar,Eridanus,alf Eri,7588.0,8478  1395 1,10144.0,24.4285147084,-57.2367503639,0.54,-0.058
Str_Ori_00000010,Betelgeuse,Orion,alf Ori,27989.0,129  1873 1,39801.0,88.7929401033,7.4070606286,0.57,1.736
Str_Cen_00000011,Hadar,Centaurus,bet Cen,68702.0,9005  3919 1,122451.0,210.95582759349998,-60.3730575218,0.64,-0.153
Str_Aql_00000012,Altair,Aquila,alf Aql,97649.0,1058  3399 1,187642.0,297.6958310566,8.8683278032,0.93,0.271
Str_Tau_00000013,Aldebaran,Taurus,alf Tau,21421.0,1266  1416 1,29139.0,68.9801674264,16.5093024497,0.99,1.48
Str_Vir_00000014,Spica,Virgo,alf Vir,65474.0,5547  1518 1,116658.0,201.2982352761,-11.1613207855,1.06,-0.136
Str_Sco_00000015,Antares,Scorpius,alf Sco,80763.0,6803  2158 1,148478.0,247.3519107541,-26.432003770300003,1.07,1.844
Str_Gem_00000016,Pollux,Gemini,bet Gem,37826.0,1920  2194 1,62509.0,116.328930599,28.026228486999997,1.22,0.969
Str_PsA_00000017,Fomalhaut,Pisces Austrinus,alf PsA,113368.0,6977  1267 1,216956.0,344.4127078082,-29.6222306006,1.23,0.142
Str_Cru_00000018,Acrux,Crux,alf01 Cru,60718.0,8979  3464 1,108248.0,186.6495619703,-63.099047291000005,1.28,-0.16899999999999998
Str_Cru_00000019,Mimosa,Crux,bet Cru,62434.0,8659  3107 1,111123.0,191.93028076369998,-59.6887617104,1.31,-0.158
Str_Cyg_00000020,Deneb,Cygnus,alf Cyg,102098.0,3574  3347 1,197345.0,310.35797373459997,45.2803382589,1.33,0.112
Str_Cen_00000021,,Centaurus,alf Cen,71681.0,9007  5848 1,,219.91412833,-60.83947139,1.35,
Str_Leo_00000022,Regulus,Leo,alf Leo,49669.0,833  1381 1,87901.0,152.0929692906,11.967210041,1.41,-0.036000000000000004
Str_CMa_00000023,Adhara,Canis Major,eps CMa,33579.0,6535  3619 1,52089.0,104.6564408583,-28.972087988600002,1.53,-0.132
Str_Cru_00000024,Acrux,Crux,alf01 Cru,60718.0,8979  3465 1,108249.0,186.65184138130002,-63.0995134617,1.58,-0.159
Str_Sco_00000025,Shaula,Scorpius,lam Sco,85927.0,7388  1093 1,158926.0,263.4021631364,-37.1038285483,1.63,-0.142
Str_Cru_00000026,Gacrux,Crux,gam Cru,61084.0,8654  3422 1,108903.0,187.7914780411,-57.1132098083,1.65,1.516
Str_Ori_00000027,Bellatrix,Orion,gam Ori,25336.0,113  1856 1,35468.0,81.2827552005,6.3497026188999985,1.66,-0.142
Str_Car_00000028,Miaplacidus,Carina,bet Car,45238.0,9200  2603 1,80007.0,138.299905172,-69.7172052255,1.67,0.06
Str_Tau_00000029,Elnath,Taurus,bet Tau,25428.0,1859  1470 1,35497.0,81.5729612528,28.607451327800003,1.68,-0.059
Str_Ori_00000030,Alnilam,Orion,eps Ori,26311.0,4766  2450 1,37128.0,84.0533821834,-1.2019235464,1.72,-0.123
Str_UMa_00000031,Alioth,Ursa Major,eps UMa,62956.0,3845  1190 1,112185.0,193.5072790906,55.959824876899994,1.76,0.041
Str_Gru_00000032,Alnair,Grus,alf Gru,109268.0,8438  1959 1,209952.0,332.0582734384,-46.9609750735,1.77,-0.073
Str_Per_00000033,Mirfak,Perseus,alf Per,15863.0,3320  2808 1,20902.0,51.080722135900004,49.8611833283,1.81,0.512
Str_Sgr_00000034,Kaus Australis,Sagittarius,eps Sgr,90185.0,7401  3471 1,169022.0,276.042980632,-34.3846122408,1.81,0.018000000000000002
Str_UMa_00000035,Dubhe,Ursa Major,alf UMa,54061.0,4146  1274 1,95689.0,165.93194103620002,61.7510258449,1.82,1.064
Str_Vel_00000036,,Vela,gam02 Vel,39953.0,8140  6533 1,68273.0,122.3831220956,-47.3365839886,1.82,-0.146
Str_CMa_00000037,Wezen,Canis Major,del CMa,34444.0,6532  5001 1,54605.0,107.09784417639999,-26.3931978217,1.84,0.701
Str_UMa_00000038,Alkaid,Ursa Major,eta UMa,67301.0,3467  1257 1,120315.0,206.8851602315,49.3132520175,1.86,-0.102
Str_Sco_00000039,Sargas,Scorpius,the Sco,86228.0,7892  7679 1,159532.0,264.3297363343,-42.9978408383,1.86,0.442
Str_Aur_00000040,Menkalinan,Auriga,bet Aur,28360.0,2924  2742 1,40183.0,89.88218073959999,44.947431363999996,1.9,0.07200000000000001
Str_Ori_00000041,Alnitak,Orion,zet Ori,26727.0,4771  1188 1,37742.0,85.18968466,-1.94257705,1.9,-0.104
Str_TrA_00000042,Atria,Triangulum Australe,alf TrA,82273.0,9275  3641 1,150798.0,252.1662225753,-69.0277103511,1.91,1.4469999999999998
Str_Pav_00000043,Peacock,Pavo,alf Pav,100751.0,8785  1898 1,193924.0,306.4119120276,-56.7350901278,1.92,-0.12
Str_Vel_00000044,Alsephina,Vela,del Vel,42913.0,8573  3571 1,74956.0,131.1759359093,-54.7088066524,1.94,0.086
Str_Car_00000045,Avior,Carina,eps Car,41037.0,8579  2692 1,71129.0,125.6285253255,-59.5095065522,1.95,1.195
Str_CMa_00000046,Mirzam,Canis Major,bet CMa,30324.0,5938  2918 1,44743.0,95.6749383565,-17.9559190167,1.96,-0.16399999999999998
Str_Hya_00000047,Alphard,Hydra,alf Hya,46390.0,5460  1592 1,81797.0,141.8968466272,-8.6586025425,1.99,1.453
Str_UMi_00000048,Polaris,Ursa Minor,alf UMi,11767.0,4628   237 1,8890.0,37.954771414899994,89.26410330469999,2.0,0.62
Str_Gem_00000049,Alhena,Gemini,gam Gem,31681.0,1329  1746 1,47105.0,99.4279371849,16.3992603489,2.02,
Str_Ari_00000050,Hamal,Aries,alf Ari,9884.0,1758  2416 1,12929.0,31.7933442456,23.4624190154,2.02,1.16
Str_Gem_00000051,Castor,Gemini,alf Gem,36850.0,2457  2407 1,,113.65004189,31.88859576,2.02,
Str_Cet_00000052,Diphda,Cetus,bet Cet,3419.0,5847  2333 1,4128.0,10.897374958399999,-17.9865775294,2.05,1.026
Str_And_00000053,Alpheratz,Andromeda,alf And,677.0,1735  3180 1,358.0,2.0969082883000003,29.0904367961,2.06,-0.043
Str_UMi_00000054,Kochab,Ursa Minor,bet UMi,72607.0,4416  1799 1,131873.0,222.67636714,74.1554994532,2.06,1.48
Str_Ori_00000055,Saiph,Orion,kap Ori,27366.0,5351   760 1,38771.0,86.9391213046,-9.6696025761,2.06,-0.116
Str_Sgr_00000056,Nunki,Sagittarius,sig Sgr,92855.0,6868  1829 1,175191.0,283.8163506635,-26.296735622199996,2.07,-0.138
Str_And_00000057,Mirach,Andromeda,bet And,5447.0,2286  1329 1,6860.0,17.4330094438,35.6205473361,2.08,1.586
Str_Cen_00000058,Menkent,Centaurus,the Cen,68933.0,7293  2215 1,123139.0,211.67061735400003,-36.3699642437,2.08,1.019
Str_Oph_00000059,Rasalhague,Ophiucus,alf Oph,86032.0,1000  2508 1,159561.0,263.7336350938,12.5600275665,2.09,0.19
Str_Per_00000060,Algol,Perseus,bet Per,14576.0,2851  2168 1,19356.0,47.0421346199,40.955694825500004,2.11,-0.006
Str_Gru_00000061,Tiaki,Grus,bet Gru,112122.0,8446  1644 1,214952.0,340.666872393,-46.8845794162,2.12,1.535
Str_Leo_00000062,Denebola,Leo,bet Leo,57632.0,870   988 1,102647.0,177.26488873169998,14.5720651835,2.13,0.14
Str_And_00000063,Almach,Andromeda,gam01 And,9640.0,2837  2311 1,12533.0,30.974813372899998,42.3297311557,2.17,1.4
Str_Cas_00000064,,Cassiopeia,gam Cas,4427.0,4017  2319 1,5394.0,14.177219359,60.716742365200005,2.18,-0.051
Str_Cen_00000065,,Centaurus,gam Cen,61932.0,8240  2724 1,110304.0,190.3794040218,-48.959765604,2.18,0.017
Str_Vel_00000066,Suhail,Vela,lam Vel,44816.0,7689  2617 1,78647.0,136.99899321430001,-43.4325865433,2.21,1.685
Str_CrB_00000067,Alphecca,Corona Borealis,alf CrB,76267.0,2029  1690 1,139006.0,233.67195583490002,26.714694143200003,2.22,0.028
Str_UMa_00000068,Mizar,Ursa Major,zet UMa,65378.0,3850  1385 1,116656.0,200.9814029548,54.9253528837,2.22,0.053
Str_Pup_00000069,Naos,Puppis,zet Pup,39429.0,7663  4093 1,66811.0,120.89603585379999,-40.003151225500005,2.22,-0.203
Str_Leo_00000070,Algieba,Leo,gam01 Leo,50583.0,1423  1349 1,89484.0,154.99222759,19.84192368,2.23,1.203
Str_Cyg_00000071,Sadr,Cygnus,gam Cyg,100453.0,3156  2223 1,194093.0,305.5570830415,40.2566790133,2.23,0.69
Str_Dra_00000072,Eltanin,Draco,gam Dra,87833.0,3523  1684 1,164058.0,269.1515425909,51.4888882825,2.23,1.535
Str_Ori_00000073,Mintaka,Orion,del Ori,25930.0,4766  2445 1,36486.0,83.0016667622,-0.2990940922,2.23,-0.166
Str_Cas_00000074,Schedar,Cassiopeia,alf Cas,3179.0,3663  2668 1,3712.0,10.1268345119,56.5373280784,2.25,1.175
